asv_names,sample,group
ASV578,LVR,CP24
ASV579,LVR,CP02
ASV580,LVM,CP20
ASV581,PRL,CP59
ASV582,LVM,CP58
ASV583,LVR,CP00
ASV584,PRL,CP18
ASV585,LVR,CP40
ASV586,LVR,CP16
ASV587,LVR,CP02
ASV588,PRL,CP03
ASV589,LVR,CP03
ASV590,LVM,CP03
ASV591,LVM,CP03
ASV592,LVM,CP31
ASV593,LVM,CP09
ASV594,LVR,CP23
ASV595,LVM,CP51
ASV596,LVM,CP06
ASV597,PRL,CP17
ASV598,LVR,CP17
ASV599,RBL,CP03
ASV600,LVR,CP22
ASV601,LVM,CP11
ASV602,LVM,CP11
ASV603,LVM,CP13
ASV604,LVM,CP13
ASV605,RBL,CP05
ASV606,LVM,CP05
ASV607,LVR,CP21
ASV608,LVM,CP03
ASV609,LVM,CP19
ASV610,LVM,CP19
ASV611,LVM,CP03
ASV612,LVM,CP12
ASV613,LVR,CP14
ASV614,PRL,CP47
ASV615,LVR,CP47
ASV616,LVR,CP08
ASV617,LVM,CP01
ASV618,LVM,CP01
ASV619,LVM,CP01
ASV620,RBL,CP01
ASV621,LVM,CP03
ASV622,RBL,CP32
ASV623,LVM,CP00
ASV624,PRL,CP00
ASV625,LVR,CP00
ASV626,LVR,CP00
ASV627,LVR,CP73
ASV628,LVM,CP71
ASV629,LVM,CP00
ASV630,LVM,CP69
ASV631,RBL,CP00
ASV632,LVM,CP00
ASV633,PRL,CP18
ASV634,LVM,CP00
ASV635,RBL,CP00
ASV636,LVR,CP64
ASV637,LVR,CP44
ASV638,LVR,CP02
ASV639,LVM,CP00
ASV640,PRL,CP00
ASV641,LVM,CP00
ASV642,PRL,CP18
ASV643,PRL,CP00
ASV644,LVM,CP00
ASV645,LVM,CP02
ASV646,LVM,CP00
ASV647,LVM,CP00
ASV648,LVM,CP15
ASV649,LVM,CP10
ASV650,RBL,CP55
ASV651,LVM,CP14
ASV652,RBL,CP40
ASV653,LVR,CP27
ASV654,PRL,CP27
ASV655,LVM,CP53
ASV656,LVM,CP52
ASV657,PRL,CP07
ASV658,LVM,CP03
ASV659,LVM,CP03
ASV660,LVR,CP31
ASV661,PRL,CP30
ASV662,LVR,CP30
ASV663,LVR,CP23
ASV664,LVM,CP09
ASV665,LVM,CP06
ASV666,RBL,CP06
ASV667,LVM,CP04
ASV668,LVR,CP00
ASV669,PRL,CP17
ASV670,LVM,CP38
ASV671,LVR,CP12
ASV672,LVM,CP04
ASV673,LVR,CP13
ASV674,LVM,CP10
ASV675,LVM,CP05
ASV676,LVR,CP05
ASV677,LVR,CP05
ASV678,RBL,CP00
ASV679,PRL,CP21
ASV680,LVM,CP19
ASV681,LVM,CP19
ASV682,LVM,CP17
ASV683,LVM,CP36
ASV684,RBL,CP49
ASV685,LVR,CP19
ASV686,PRL,CP15
ASV687,LVR,CP00
ASV688,LVM,CP08
ASV689,LVM,CP08
ASV690,RBL,CP06
ASV691,LVR,CP08
ASV692,LVM,CP01
ASV693,LVM,CP01
ASV694,LVM,CP01
ASV695,LVM,CP01
ASV696,LVR,CP01
ASV697,LVR,CP01
ASV698,LVM,CP01
ASV699,RBL,CP01
ASV700,LVR,CP01
ASV701,LVM,CP05
ASV702,LVM,CP08
ASV703,LVR,CP35
BC10v0,LVM,CP00
BC10v0,LVR,CP00
BC10v0,PRL,CP00
BC10v0,RBL,CP00
